City,Customer Age,Customer Name,Customer Segment,Discount,Number of Records,Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,State,Unit Price,Zip Code,z_score
Pharr,,Tamara Dahlen,Corporate,0.03,1,2012-01-04,8710,Critical,17,0.4,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,-76.015,Central,1193,63.34,2012-01-05,Regular Air,6.27,Texas,3.36,78577,-0.47771715488309147
Pharr,,Tamara Dahlen,Corporate,0.07,1,2012-01-04,8710,Critical,42,0.35,Office Supplies,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",Paper,8.33,Central,1194,151.35,2012-01-06,Express Air,1.93,Texas,3.71,78577,-0.45316652744542163
Bedford,,Darren Budd,Consumer,0.04,1,2012-01-05,57253,Critical,25,0.55,Technology,Small Box,232,Telephones and Communication,667.449,Central,8015,2750.107,2012-01-05,Regular Air,5.26,Texas,125.99,76021,0.2717637635219289
Dubuque,,Marina Lichtenstein,Corporate,0.08,1,2012-01-05,32418,Not Specified,5,0.55,Furniture,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,-131.31,Central,4555,1244.19,2012-01-06,Delivery Truck,43.32,Iowa,243.98,52001,-0.1483158549197644
Bedford,,Darren Budd,Consumer,0.08,1,2012-01-05,57253,Critical,49,0.7,Furniture,Jumbo Box,"Iceberg OfficeWorks 42"" Round Tables",Tables,-139.15575,Central,8014,240.3,2012-01-06,Regular Air,5.68,Texas,4.91,76021,-0.4283536844664337
Bedford,,Darren Budd,Consumer,0.08,1,2012-01-05,57253,Critical,43,0.58,Furniture,Jumbo Drum,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,1.74,Central,8011,78.08,2012-01-06,Regular Air,0.75,Texas,1.81,76021,-0.4736053920330602
Norman,,Pauline Chand,Small Business,0.02,1,2012-01-05,28451,Critical,41,0.59,Furniture,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Office Furnishings,2593.14,Central,3982,8958.46,2012-01-06,Regular Air,21.21,Oklahoma,209.84,73071,2.0036006173401284
Ormond Beach,,Valerie Dominguez,Corporate,0.09,1,2012-01-05,25601,Medium,43,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-131.08,South,3588,257.41,2012-01-06,Regular Air,4.69,Florida,5.98,32174,-0.4235808037090364
Deer Park,,Dorris Love,Home Office,0.05,1,2012-01-05,290,Not Specified,24,0.36,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,-32.48,East,47,188.73,2012-01-06,Regular Air,5.83,New York,7.64,11729,-0.44273927538747254
Fort Dodge,,Matt Collins,Consumer,0.03,1,2012-01-05,1028,High,6,0.4,Technology,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",Computer Peripherals,-28.46,Central,164,165.75,2012-01-06,Regular Air,1.99,Iowa,28.48,50501,-0.4491496085145905
Bedford,,Darren Budd,Consumer,0.06,1,2012-01-05,57253,Critical,29,0.64,Furniture,Jumbo Drum,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,-1358.9,Central,8012,653.54,2012-01-07,Delivery Truck,53.03,Texas,20.98,76021,-0.3130792692597222
Norman,,Pauline Chand,Small Business,0.01,1,2012-01-05,28451,Critical,21,0.59,Furniture,Large Box,Electrix Halogen Magnifier Lamp,Office Furnishings,1162.76,Central,3981,4201.08,2012-01-07,Regular Air,11.54,Oklahoma,194.3,73071,0.6765166046208733
Monroe,,Robert Waldorf,Home Office,0.0,1,2012-01-05,59232,High,23,0.4,Office Supplies,Small Box,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,245.97,South,8291,725.43,2012-01-07,Regular Air,5.76,Louisiana,30.98,71203,-0.293025359402955
Mount Prospect,,Susan Vittorini,Home Office,0.08,1,2012-01-05,52386,High,6,0.38,Technology,Jumbo Drum,Canon S750 Color Inkjet Printer,Office Machines,-188.5812,Central,7352,700.73,2012-01-07,Delivery Truck,26.3,Illinois,120.97,60056,-0.2999154911801444
Norman,,Pauline Chand,Small Business,0.0,1,2012-01-05,28451,Critical,33,0.56,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,1054.93,Central,3983,4913.7,2012-01-07,Delivery Truck,17.85,Oklahoma,145.45,73071,0.8753038802103775
Fort Dodge,,Matt Collins,Consumer,0.01,1,2012-01-05,1028,High,11,0.59,Technology,Small Box,3285,Telephones and Communication,-60.39,Central,165,2021.147,2012-01-07,Regular Air,5.99,Iowa,205.99,50501,0.06841840075674543
Bristol,,Corey Roper,Small Business,0.02,1,2012-01-06,48226,Low,23,0.62,Furniture,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,-108.8,East,6773,2357.45,2012-01-06,Delivery Truck,35.84,Connecticut,100.98,6010,0.16223103181197407
Petersburg,,Muhammed Yedwab,Consumer,0.03,1,2012-01-06,16770,Critical,17,0.57,Office Supplies,Wrap Bag,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Pens & Art Supplies,0.61,South,2325,37.06,2012-01-07,Regular Air,0.7,Virginia,2.1,23805,-0.48504803193185825
Hilton Head Island,,Craig Leslie,Consumer,0.03,1,2012-01-06,14274,Not Specified,2,0.55,Technology,Small Box,Accessory35,Telephones and Communication,-164.043,South,2003,61.7185,2012-01-07,Regular Air,1.1,South Carolina,35.99,29915,-0.47816947669186527
Herndon,,Tracy Collins,Consumer,0.06,1,2012-01-06,16961,Not Specified,27,0.51,Technology,Small Pack,BASF Silver 74 Minute CD-R,Computer Peripherals,-37.08,South,2350,46.86,2012-01-07,Regular Air,1.99,Virginia,1.7,20170,-0.48231429543726484
Hilton Head Island,,Craig Leslie,Consumer,0.01,1,2012-01-06,14274,Not Specified,23,0.74,Furniture,Jumbo Drum,Novimex Swivel Fabric Task Chair,Chairs & Chairmats,112.44,South,2001,3674.08,2012-01-08,Delivery Truck,30.0,South Carolina,150.98,29915,0.529508529860596
Royal Palm Beach,,Victor Price,Consumer,0.05,1,2012-01-06,6854,Medium,19,0.37,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,2.39,South,948,129.84,2012-01-08,Express Air,4.95,Florida,6.64,33411,-0.4591668000983506
Royal Palm Beach,,Victor Price,Consumer,0.07,1,2012-01-06,6854,Medium,1,0.35,Office Supplies,Small Box,GBC VeloBinder Strips,Binders and Binder Accessories,-2.392,South,947,22.13,2012-01-08,Express Air,6.16,Florida,7.68,33411,-0.48921279579556015
Hilton Head Island,,Craig Leslie,Consumer,0.01,1,2012-01-06,14274,Not Specified,46,0.58,Office Supplies,Medium Box,Eldon Portable Mobile Manager,Storage & Organization,-40.72,South,2002,1413.89,2012-01-08,Express Air,13.99,South Carolina,28.28,29915,-0.10097758113073395
Herndon,,Tracy Collins,Consumer,0.01,1,2012-01-06,16961,Not Specified,34,0.4,Office Supplies,Small Box,Xerox 19,Paper,433.24,South,2351,1089.59,2012-01-08,Regular Air,5.09,Virginia,30.98,20170,-0.19144194288549282
Fairfax,,Maribeth Schnelling,Corporate,0.09,1,2012-01-06,41094,Low,46,0.37,Office Supplies,Small Box,Xerox 227,Paper,-225.86,South,5794,298.97,2012-01-08,Regular Air,8.73,Virginia,6.48,20151,-0.4119875293503322
San Clemente,,Julia Barnett,Home Office,0.03,1,2012-01-06,23488,High,29,0.56,Office Supplies,Wrap Bag,Newell 342,Pens & Art Supplies,-73.19,West,3283,101.77,2012-01-08,Regular Air,3.97,California,3.28,92672,-0.46699700248643594
Fairfax,,Maribeth Schnelling,Corporate,0.05,1,2012-01-06,41094,Low,6,0.84,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,-153.46,South,5795,159.05,2012-01-10,Regular Air,35.0,Virginia,20.34,20151,-0.4510185916282411
Las Vegas,,Chloris Kastensmidt,Consumer,0.08,1,2012-01-07,43909,High,46,0.37,Office Supplies,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,-199.134,West,6199,737.25,2012-01-08,Regular Air,13.18,Nevada,15.99,89115,-0.28972813844723105
Franklin Square,,Jasper Cacioppo,Home Office,0.05,1,2012-01-07,3073,Medium,3,0.4,Office Supplies,Small Box,Avery Reinforcements for Hole-Punch Pages,Binders and Binder Accessories,-11.5805,East,450,10.58,2012-01-08,Regular Air,4.77,New York,1.98,11010,-0.492434699521331
Franklin Square,,Jasper Cacioppo,Home Office,0.07,1,2012-01-07,3073,Medium,3,0.41,Technology,Large Box,Canon PC1060 Personal Laser Copier,Copiers and Fax,-2314.74,East,451,2119.67,2012-01-08,Express Air,24.49,New York,699.99,11010,0.09590165796662553
Norman,,Pauline Chand,Small Business,0.07,1,2012-01-07,32295,High,11,0.58,Technology,Small Box,i1000,Telephones and Communication,-112.244,Central,4540,607.597,2012-01-08,Regular Air,5.99,Oklahoma,65.99,73071,-0.3258951933179981
Lubbock,,George Ashbrook,Consumer,0.09,1,2012-01-07,18405,Medium,30,0.37,Office Supplies,Small Box,Premium Transparent Presentation Covers by GBC,Binders and Binder Accessories,60.2735,Central,2538,610.65,2012-01-09,Express Air,8.83,Texas,20.98,79424,-0.32504355071412117
Lubbock,,George Ashbrook,Consumer,0.03,1,2012-01-07,18405,Medium,2,0.65,Technology,Small Box,Keytronic French Keyboard,Computer Peripherals,-263.09,Central,2539,158.04,2012-01-10,Regular Air,14.52,Texas,73.98,79424,-0.45130033385880636
Fresno,,Benjamin Venier,Small Business,0.05,1,2012-01-07,33923,Low,34,0.58,Technology,Small Box,i1000,Telephones and Communication,425.754,West,4778,1961.7915,2012-01-11,Regular Air,5.99,California,65.99,93727,0.051861023562374244
Brunswick,,Julie Kriz,Corporate,0.01,1,2012-01-07,40704,Low,6,0.56,Office Supplies,Wrap Bag,Newell 310,Pens & Art Supplies,-2.06,East,5733,11.57,2012-01-12,Regular Air,0.7,Maine,1.76,4011,-0.49215853634483636
Garfield Heights,,Sandra Flanagan,Home Office,0.03,1,2012-01-08,4193,High,3,0.44,Furniture,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,64.25,East,612,75.77,2012-01-08,Regular Air,8.99,Ohio,22.72,44125,-0.47424977277821434
Garfield Heights,,Sandra Flanagan,Home Office,0.07,1,2012-01-08,4193,High,16,0.39,Office Supplies,Small Box,Avery 491,Labels,14.42,East,611,64.29,2012-01-08,Regular Air,0.99,Ohio,4.13,44125,-0.47745214981473805
Myrtle Beach,,Luke Schmidt,Home Office,0.07,1,2012-01-08,30083,Not Specified,23,0.58,Office Supplies,Small Box,Acco 6 Outlet Guardian Premium Surge Suppressor,Appliances,20.43,South,4234,324.28,2012-01-09,Regular Air,3.5,South Carolina,14.56,29577,-0.4049272364239895
Pasadena,,Mark Haberlin,Small Business,0.05,1,2012-01-09,31715,Not Specified,44,0.56,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,-116.87,West,4451,145.19,2012-01-09,Regular Air,3.97,California,3.28,91104,-0.45488487609916606
Lawton,,Joni Blumstein,Home Office,0.02,1,2012-01-09,18561,Not Specified,9,0.39,Office Supplies,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Labels,-38.9,Central,2571,45.87,2012-01-10,Regular Air,6.89,Oklahoma,4.13,73505,-0.4825904586137595
Pasadena,,Mark Haberlin,Small Business,0.01,1,2012-01-09,31715,Not Specified,11,0.36,Office Supplies,Small Box,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Binders and Binder Accessories,-53.8545,West,4450,68.5,2012-01-10,Regular Air,7.57,California,5.38,91104,-0.476277758932877
Gilroy,,Cynthia Voltz,Corporate,0.0,1,2012-01-09,8576,High,43,0.59,Office Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pens & Art Supplies,-164.25,West,1173,541.45,2012-01-11,Express Air,8.99,California,11.66,95020,-0.3443470777983929
Plainfield,,Yana Sorensen,Corporate,0.07,1,2012-01-09,58343,Not Specified,39,0.4,Office Supplies,Wrap Bag,Acco® Hot Clips™ Clips to Go,Rubber Bands,11.32,East,8161,121.87,2012-01-11,Regular Air,1.35,New Jersey,3.29,7060,-0.4613900531454842
Augusta,,Mark Haberlin,Small Business,0.09,1,2012-01-09,31715,Not Specified,24,0.59,Office Supplies,Wrap Bag,Newell 339,Pens & Art Supplies,-4.09,East,4449,64.11,2012-01-11,Regular Air,0.97,Maine,2.78,4330,-0.4775023613013734
Madison,,Olvera Toch,Home Office,0.1,1,2012-01-09,40097,Low,47,0.58,Office Supplies,Wrap Bag,12 Colored Short Pencils,Pens & Art Supplies,-71.0,Central,5666,117.88,2012-01-14,Regular Air,2.4,Wisconsin,2.6,53711,-0.4625030744325686
King of Prussia,,Benjamin Patterson,Corporate,0.04,1,2012-01-09,47138,Low,1,0.59,Technology,Small Box,M70,Telephones and Communication,-506.308,East,6627,107.95,2012-01-16,Regular Air,8.99,Pennsylvania,125.99,19406,-0.4652730747786209
East Lansing,,Kristina Nunn,Consumer,0.05,1,2012-01-10,55367,Critical,31,0.56,Furniture,Jumbo Box,"Hon Metal Bookcases, Putty",Bookcases,-686.01,Central,7731,2137.1,2012-01-11,Delivery Truck,46.74,Michigan,70.98,48823,0.10076380358915231
Denton,,Darren Powers,Corporate,0.06,1,2012-01-10,14596,Critical,19,0.56,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,-53.75,Central,2046,63.14,2012-01-11,Regular Air,3.97,Texas,3.28,76201,-0.4777729454237974
Lehi,,Ann Steele,Corporate,0.02,1,2012-01-10,44391,Not Specified,16,0.37,Office Supplies,Small Box,Xerox 1996,Paper,-85.23,West,6273,112.81,2012-01-11,Regular Air,9.17,Utah,6.48,84043,-0.4639173646394654
Pittsburgh,,Rob Haberlin,Consumer,0.0,1,2012-01-10,33988,Medium,30,0.79,Technology,Small Pack,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,-128.47,East,4787,164.78,2012-01-11,Regular Air,5.14,Pennsylvania,5.02,15122,-0.44942019263701455
Essex Junction,,Giulietta Dortch,Corporate,0.02,1,2012-01-10,28999,High,34,0.45,Technology,Small Pack,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,420.05,East,4073,1177.5,2012-01-11,Regular Air,1.99,Vermont,33.98,5451,-0.16691921071817598
Denton,,Darren Powers,Corporate,0.01,1,2012-01-10,14596,Critical,24,0.43,Furniture,Wrap Bag,Document Clip Frames,Office Furnishings,73.33,Central,2045,199.12,2012-01-12,Regular Air,0.96,Texas,8.34,76201,-0.43984095679779656
Hazelwood,,Maria Bertelson,Home Office,0.01,1,2012-01-10,28290,Low,3,0.66,Office Supplies,Small Box,Fellowes Super Stor/Drawer® Files,Storage & Organization,-179.36,Central,3965,523.58,2012-01-12,Express Air,19.99,MO,161.55,63042,-0.3493319626104729
East Lansing,,Kristina Nunn,Consumer,0.05,1,2012-01-10,55367,Critical,48,0.55,Office Supplies,Wrap Bag,Newell 309,Pens & Art Supplies,129.87,Central,7732,571.17,2012-01-12,Regular Air,2.36,Michigan,11.55,48823,-0.3360566034494831
Minnetonka,,Sean Wendt,Corporate,0.09,1,2012-01-10,31553,Critical,32,0.39,Office Supplies,Small Box,Multimedia Mailers,Envelopes,1907.94,Central,4425,4906.85,2012-01-12,Regular Air,19.99,Minnesota,162.93,55345,0.8733930541911976
Hazelwood,,Maria Bertelson,Home Office,0.05,1,2012-01-10,28290,Low,43,0.74,Technology,Small Box,"Fellowes Internet Keyboard, Platinum",Computer Peripherals,-154.24,Central,3964,1307.35,2012-01-14,Express Air,8.65,MO,30.42,63042,-0.13069720216481356
Pleasure Ridge Park,,Michelle Moray,Corporate,0.02,1,2012-01-10,20037,Low,35,0.42,Furniture,Small Box,"Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black",Office Furnishings,339.58,South,2775,1009.42,2012-01-15,Regular Air,8.55,Kentucky,29.18,40258,-0.21380558112748793
Trenton,,Bradley Drucker,Small Business,0.03,1,2012-01-11,33797,Not Specified,18,0.36,Office Supplies,Small Box,Xerox 188,Paper,30.53,East,4758,216.87,2012-01-11,Regular Air,5.01,New Jersey,11.34,8601,-0.43488954631014015
Bellingham,,Bradley Drucker,Small Business,0.08,1,2012-01-11,33797,Not Specified,20,0.57,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,653.68,East,4754,4531.34,2012-01-11,Delivery Truck,14.7,MA,297.64,2019,0.7686435244886706
Beverly,,Bradley Drucker,Small Business,0.02,1,2012-01-11,33797,Not Specified,44,0.73,Furniture,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Office Furnishings,-449.04,East,4755,574.5,2012-01-12,Regular Air,14.37,MA,12.99,1915,-0.33512769094672845
Hanson,,Bradley Drucker,Small Business,0.06,1,2012-01-11,33797,Not Specified,18,0.52,Office Supplies,Medium Box,Holmes Odor Grabber,Appliances,-22.37,East,4756,262.94,2012-01-12,Regular Air,6.75,MA,14.42,2341,-0.4220381952585159
Springfield,,Alan Barnes,Corporate,0.06,1,2012-01-11,19655,High,31,0.51,Technology,Small Pack,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,304.42,Central,2726,1143.45,2012-01-12,Regular Air,1.99,Illinois,39.24,62701,-0.17641755027337033
Hawthorne,,Bradley Drucker,Small Business,0.05,1,2012-01-11,33797,Not Specified,29,0.49,Furniture,Small Box,Eldon Image Series Black Desk Accessories,Office Furnishings,-103.78,East,4757,138.17,2012-01-13,Express Air,6.6,New Jersey,4.14,7506,-0.4568431240779462
Lebanon,,Andy Gerbode,Consumer,0.08,1,2012-01-11,21830,Low,19,0.56,Technology,Jumbo Box,Okidata ML320 Series Turbo Dot Matrix Printers,Office Machines,906.8,South,3040,6991.65,2012-01-18,Delivery Truck,12.06,Tennessee,399.98,37087,1.4549536505104117
Florence,,Cindy Schnelling,Corporate,0.09,1,2012-01-12,20549,Not Specified,40,0.67,Office Supplies,Small Box,Fellowes Super Stor/Drawer®,Storage & Organization,-568.71,South,2855,1030.09,2012-01-13,Regular Air,19.99,Kentucky,27.75,41042,-0.20803962874552412
Englewood,,Greg Matthias,Home Office,0.05,1,2012-01-12,7461,Low,12,0.55,Furniture,Jumbo Drum,Global Leather Executive Chair,Chairs & Chairmats,593.79,West,1024,4080.3,2012-01-14,Delivery Truck,39.0,Colorado,350.99,80112,0.6428246970885275
Gaithersburg,,Rick Reed,Consumer,0.04,1,2012-01-12,43362,Critical,33,0.35,Office Supplies,Wrap Bag,Prang Dustless Chalk Sticks,Pens & Art Supplies,2.72,East,6123,58.48,2012-01-14,Regular Air,1.0,Maryland,1.68,20877,-0.47907286502224694
Fort Thomas,,Liz Price,Consumer,0.1,1,2012-01-12,27813,Medium,10,0.74,Technology,Small Box,Targus USB Numeric Keypad,Computer Peripherals,-131.03,South,3901,401.14,2012-01-14,Regular Air,6.5,Kentucky,40.98,41075,-0.3834869316306785
Springfield,,Guy Thornton,Corporate,0.01,1,2012-01-12,37862,Not Specified,27,0.57,Office Supplies,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Appliances,452.49,Central,5327,1603.27,2012-01-15,Regular Air,3.99,MO,59.98,65807,-0.04814951813623436
Englewood,,Greg Matthias,Home Office,0.0,1,2012-01-12,7461,Low,28,0.38,Office Supplies,Small Box,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Envelopes,111.4,West,1025,260.79,2012-01-16,Regular Air,1.39,Colorado,8.74,80112,-0.42263794357110523
Englewood,,Greg Matthias,Home Office,0.02,1,2012-01-12,7461,Low,44,0.83,Office Supplies,Wrap Bag,"Brites Rubber Bands, 1 1/2 oz. Box",Rubber Bands,-16.72,West,1026,90.35,2012-01-16,Regular Air,0.7,Colorado,1.98,80112,-0.47018264236074786
College Park,,Michelle Huthwaite,Home Office,0.06,1,2012-01-13,51623,Critical,17,0.43,Furniture,Small Box,Eldon® Wave Desk Accessories,Office Furnishings,-66.58,East,7241,39.23,2012-01-13,Regular Air,5.33,Maryland,2.08,20740,-0.4844427045651982
Manteca,,Brian Stugart,Corporate,0.02,1,2012-01-13,13602,Low,13,0.37,Office Supplies,Small Box,Xerox 1910,Paper,267.67,West,1895,660.99,2012-01-13,Regular Air,5.09,California,48.04,95336,-0.3110010716184241
Pembroke Pines,,Mike Gockenbach,Consumer,0.07,1,2012-01-13,25541,Low,50,0.36,Office Supplies,Small Box,Xerox 1903,Paper,-111.34,South,3582,297.76,2012-01-15,Regular Air,5.79,Florida,5.98,33024,-0.4123250621216034
Manteca,,Brian Stugart,Corporate,0.03,1,2012-01-13,13602,Low,3,0.56,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,-377.9019,West,1894,445.34,2012-01-18,Delivery Truck,17.85,California,145.45,95336,-0.37115722213465524
Post Falls,,Tamara Manning,Corporate,0.06,1,2012-01-14,43911,Medium,29,0.6,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,-53.89,West,6200,577.89,2012-01-14,Regular Air,11.17,Idaho,19.99,83854,-0.334182041281762
Germantown,,Toby Swindell,Small Business,0.1,1,2012-01-14,30567,Not Specified,14,0.58,Office Supplies,Jumbo Drum,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,-368.02,South,4291,2690.84,2012-01-14,Delivery Truck,68.02,Tennessee,208.16,38138,0.2552310736418201
Allentown,,Clytie Kelty,Small Business,0.02,1,2012-01-14,34691,Critical,23,0.56,Technology,Jumbo Drum,Okidata ML184 Turbo Dot Matrix Printers,Office Machines,1425.11,East,4876,7202.94,2012-01-14,Delivery Truck,26.53,Pennsylvania,306.14,18103,1.5138935672392522
